time,open,high,low,close,tick_volume,spread,real_volume
2011-12-07,1.34089,1.3453,1.33508,1.33978,82097,5,0
2011-12-08,1.3397700000000001,1.34569,1.32882,1.33439,85261,6,0
2011-12-09,1.33443,1.34327,1.3281,1.33842,80664,5,0
2011-12-11,1.33636,1.33731,1.33613,1.33695,1611,18,0
2011-12-12,1.33696,1.33759,1.31603,1.31635,82026,7,0
2011-12-13,1.31635,1.32356,1.3008600000000001,1.30173,86965,6,0
2011-12-14,1.3017400000000001,1.3063500000000001,1.29462,1.29851,91296,8,0
2011-12-15,1.29853,1.3048899999999999,1.29566,1.30276,83003,7,0
2011-12-16,1.30277,1.30834,1.2995,1.30419,73729,8,0
2011-12-18,1.30328,1.30399,1.30308,1.30354,1041,4,0
2011-12-19,1.30352,1.3043,1.29828,1.30058,66041,3,0
2011-12-20,1.30058,1.31314,1.2995,1.30861,65374,4,0
2011-12-21,1.30859,1.31956,1.30254,1.30352,83533,3,0
2011-12-22,1.30353,1.31183,1.30171,1.3054000000000001,73603,5,0
2011-12-23,1.3054000000000001,1.30946,1.30259,1.30451,59919,5,0
2011-12-26,1.30487,1.30813,1.30423,1.30468,23972,5,0
2011-12-27,1.30467,1.30824,1.30422,1.30675,50000,6,0
2011-12-28,1.30675,1.3079100000000001,1.29116,1.29238,67819,5,0
2011-12-29,1.2924,1.29641,1.28577,1.29514,75522,6,0
2011-12-30,1.29513,1.29981,1.29039,1.29565,69266,5,0
2012-01-01,1.29443,1.29525,1.29368,1.29429,1215,19,0
2012-01-02,1.29434,1.29681,1.29168,1.29353,40784,5,0
2012-01-03,1.29352,1.30762,1.29346,1.30529,82599,5,0
2012-01-04,1.30529,1.30719,1.28974,1.2928899999999999,80802,5,0
2012-01-05,1.29291,1.29434,1.27702,1.27919,92121,5,0
2012-01-06,1.27918,1.28121,1.26972,1.27188,76180,6,0
2012-01-08,1.26923,1.26931,1.26661,1.26784,2968,12,0
2012-01-09,1.26783,1.27848,1.26768,1.27717,80396,5,0
2012-01-10,1.27718,1.28174,1.27424,1.27523,77086,6,0
2012-01-11,1.27523,1.27893,1.26619,1.27213,83346,6,0
2012-01-12,1.27212,1.28442,1.26994,1.28205,84287,5,0
2012-01-13,1.28204,1.28778,1.26241,1.26754,88696,5,0
2012-01-15,1.26383,1.26555,1.26369,1.26479,1750,12,0
2012-01-16,1.26478,1.2687300000000001,1.26254,1.26663,72123,5,0
2012-01-17,1.26664,1.2808,1.26644,1.27459,87483,5,0
2012-01-18,1.2746,1.28673,1.27337,1.28634,91420,5,0
2012-01-19,1.28635,1.2971300000000001,1.2839,1.296,86507,5,0
2012-01-20,1.29602,1.29854,1.28873,1.29298,75428,5,0
2012-01-22,1.28808,1.28951,1.28807,1.28869,1974,12,0
2012-01-23,1.28869,1.30521,1.28824,1.30227,80858,4,0
2012-01-24,1.30228,1.30618,1.29534,1.30346,75823,4,0
2012-01-25,1.30345,1.31199,1.29307,1.31054,82806,5,0
2012-01-26,1.31055,1.31832,1.30881,1.30883,76271,5,0
2012-01-27,1.30885,1.3233,1.3077,1.32189,81400,5,0
2012-01-29,1.32148,1.32206,1.3205200000000001,1.32053,1767,12,0
2012-01-30,1.32051,1.32097,1.3076699999999999,1.31376,80681,5,0
2012-01-31,1.3137699999999999,1.32126,1.30427,1.30755,86206,5,0
2012-02-01,1.30754,1.32168,1.30257,1.31698,87225,5,0
2012-02-02,1.317,1.31959,1.30854,1.31356,83534,4,0
2012-02-03,1.31357,1.31989,1.30657,1.31561,79443,4,0
2012-02-05,1.31211,1.31305,1.31136,1.31238,2300,12,0
2012-02-06,1.31237,1.31409,1.30278,1.31176,82049,5,0
2012-02-07,1.31175,1.3269199999999999,1.30891,1.3247499999999999,89945,5,0
